Name,Address
Norwood HAll Hotel ,"Garthdee Road, Cults, City of Aberdeen, AB15 9FX"
Portlethen Golf Club,"Badentoy Road, Badentoy Industrial Estate Portleth, Aberdeenshire, AB12 4YA"
Holiday Inn Aberdeen West,"Holiday Inn Aberdeen West, Aberdeenshire, AB32 6TT"
Figment Coffee Company Limited,"70 Countesswells Road, City of Aberdeen, AB15 7YJ"
The Bothy Restaurant - The Palm Court Hotel,"81 Seafield Road, City of Aberdeen, AB15 7YX"
The Broadstraik Inn,"104 Carnie Avenue, Elrick, Aberdeenshire, AB32 6HT"
Thyme Out ,"569 Great Western Road, City of Aberdeen, AB10 6PA"
Crema,"6 Scotstown Road, Bridge of Don, City of Aberdeen, AB23 8HS"
Sally's Portlethen,"1 Barclayhill Place,, Aberdeenshire, AB12 4PF"
The Sitting Room,"Unit 6, The Green Berrymuir Road, Aberdeenshire, AB12 4UN"
The Paddock bar and restaurant,"The Paddock, Berrymuir Road, Portlethen, Scotland, AB12 4UF"
The Chester Hotel,"59-63, Queens Road, City of Aberdeen, AB15 4YP"
Malmaison Aberdeen,"49-53 Queens Road, AB15 4YP"
Sure Summerhill Hotel,"Scott's Bar, Summerhill Hotel, 1 Summerhill Court, City of Aberdeen, AB15 6TW"
Rendezvous at Nargile,"106-108 Forest Avenue, City of Aberdeen, AB15 4UP"
The Garlogie Inn,"Garlogie, Skene, Aberdeenshire, AB32 6RX"
WYNFORD FARM PARK,"Wynford, Kingswells, City of Aberdeen, AB15 8RQ"
The Dutch Mill Hotel,"7 Queens Road, City of Aberdeen, AB15 4NR"
Cognito at the Cross,"Queens Cross Church, Albyn Place, City of Aberdeen, AB10 1YN"
Orka Artisan Cafe Ltd ,"12 St. Swithin Street, City of Aberdeen, AB10 6XD"
Corner Tree Cafe,"3 Whitehall Road, City of Aberdeen, AB25 2PP"
"Atholl Hotel, Aberdeen","54 King's Gate, City of Aberdeen, AB15 4YN"
Duck and dog,"231 Rosemount Place, City of Aberdeen, AB25 2XX"
Royal Voluntary Service,"Royal Aberdeen Childrens Hospital, Westburn Drive, Aberdeenshire, AB25 2ZG"
Eastern Eye Aberdeen,"6 Cornhill Shopping Arcade, City of Aberdeen, AB16 5UT"
Hub cafe,"Middlefield Community Project,Lord, Manor Avenue, City of Aberdeen, AB16 7UR"
AM SHAKES LIMITED,"Post Office Counters Ltd, 437-441 Great Northern Road, City of Aberdeen, AB24 2EH"
HA Aberdeen Ltd T/A Subway,"Unit 5, Laurel Drive, City of Aberdeen, AB22 8HB"
Little Malaya Restaurant ,"25 Inverurie Road, Bucksburn, City of Aberdeen, AB21 9LJ"
The Spital Grub Limited,"148 Spital, City of Aberdeen, AB24 3JU"
Britannia Aberdeen Hotel,"Malcolm Road, Bucksburn, City of Aberdeen, AB21 9LN"
STAGING POST (BUCKSBURN) LIMITED,"STAGING POST LTD, 18 OLDMELDRUM ROAD, AB21 9DU"
J G Ross,"31 East Church Street, Moray, AB56 1ET"
Jupiter Private Limted,"Parkway Inn lounge, Balgownie Road, AB22 8LX"
BEEKIES NEUK,"28 Oldmeldrum Road, Newmachar, Aberdeenshire, AB21 0PJ"
Newmachar Hotel,"Newmachar Hotel, Oldmeldrum Road, Aberdeenshire, AB21 0QD"
Newmachar Golf Club,"Newmachar Golf Club, Swailend , AB21 7UU"
PINEHURST LODGE LTD,"Pitmedden Road, Dyce, City of Aberdeen, AB21 0EX"
The New Greentrees,"183 Victoria Street, Dyce, City of Aberdeen, AB21 7AA"
The Cock and Bull,"The Cock and Bull, Ellon Rd, Aberdeenshire, AB23 8XY"
Beachside Coffee Shop ,"Balmedie Leisure Centre , Eigie Road, Aberdeenshire , AB23 8YF"
Cafe 21,"Station Buildings, Station Road, City of Aberdeen, AB21 7BA"
The Spiders Web,"Spiders Web, 19-21 Station Road, City of Aberdeen, AB21 7BA"
The Dunavon,"60 Victoria Street, Dyce, City of Aberdeen, AB21 7EE"
DYCE TANDOORI ,"273-275, Stoneywood Road, City of Aberdeen, AB21 9JS"
The Coffee Apothecary,"The Coffee Apothecary, Udny, Aberdeenshire, AB41 7PQ"
JD Aberdeen Ltd T/A Subway,"Unit 4, Jesmond Drive, City of Aberdeen, AB22 8UR"
Mains Of Scotstown,"Jesmond Square, Bridge of Don, AB22 8WT"
Shish Tandoori,"9 Ellon Road, Bridge of Don, City of Aberdeen, AB23 8EB"
Cobbs Cafe Aberdeen,"Sterling Furniture, 40 Woodside Road, Aberdeen, AB23 8EF"
AEP Hub Cafe Limited,"The Hub, Exploration Drive Aberdeen Science, City of Aberdeen, AB23 8GX"
Innoflate Aberdeen,"1a, Esplanade Sea Beach, City of Aberdeen, AB24 5NS"
Inversnecky Cafe,"7-8, Esplanade Sea Beach, City of Aberdeen, AB24 5NS"
The Highlander Cafe Bus,"The Stance, Beach Boulevard, AB24 5NS"
Pavilion cafe ,"Pavilion cafe , 5/6 Esplanade Sea beach , Grampian , AB24 5NS"
The Pier,"Pier Bistro, Sea Beach, Esplanade, City of Aberdeen, AB24 5NS"
Barking Mad coffee and cakes,"Unit 2, 9 Esplanade Sea Beach, City of Aberdeen, AB24 5NS"
TURKISH KITCHEN ,"Unit 1, 9 Esplanade Sea Beach, City of Aberdeen, AB24 5NS"
Sand Dollar Cafe (Aberdeen) Limited,"Esplanade Sea Beach, City of Aberdeen, AB24 5NS"
Balmakewan Farm Shop and Tea Room,"Balmakewan Coach House, Marykirk, Aberdeenshire, AB30 1QX"
St Cyrus Village Inn,"Main Road, St. Cyrus, Aberdeenshire, DD10 0BE"
Old Bakery Coffee Shop St Cyrus Ltd ,"Beach Road, St Cyrus, DD10 0BJ"
Tor Na Coille Hotel,"TOR NA COILLE HOTEL, Inchmarlo Road, Aberdeenshire, AB31 4AB"
tease coffee bar,"17 High Street, Aberdeenshire, AB31 5TB"
Douglas Arms Hotel,"22 High Street, Aberdeenshire, AB31 5SR"
The Burnett Arms Hotel,"25 High Street, Aberdeenshire, AB31 5TD"
dee-licious,"52 High Street, Aberdeenshire, AB31 5SS"
Birdhouse cafe,"74-76, High Street, Aberdeenshire, AB31 5SS"
The Chatterbox,"14 Dee Street, Aberdeenshire, AB31 5ST"
Legion Scotland Ravenswood Club,"Ravenswood, 25 Ramsay Road, Aberdeenshire, AB31 5TS"
Raemoir Garden Centre Ltd,"Raemoir Road, Aberdeenshire, AB31 4EJ"
Ride Coffee House,"46 Station Road, Aberdeenshire, AB31 5YA"
Banchory Lodge Hotel,"Banchory Lodge Hotel, Dee Street, Banchory, Aberdeenshire, AB31 5HS"
Scott Skinner's Restaurant & Bar,"Scott Skinner's Restaurant & Bar, North Deeside Road, Aberdeenshire, AB31 5YR"
Duncan's of Banchory,"Ternan House, North Deeside Road, Aberdeenshire, AB31 5YR"
Cowshed Restaurant,"Cowshed Restaurant, Raemoir Road, AB31 5QB"
Milton Brasserie,"Milton of Crathes, Aberdeenshire, AB31 5QH"
Hilton Aberdeen,"East Burn Road, Stoneywood, City of Aberdeen, AB21 9FX"
BENGAL DISH LTD,"Learney Arms Hotel, The Square, Aberdeenshire, AB31 4GP"
Invercauld Mews Bar,"Braemar, Aberdeenshire, AB35 5YR"
The Cairn Grill Restaurant & Bar,"7-9, Invercauld Road, Aberdeenshire, AB35 5YP"
The Flying Stag,"Braemar, Aberdeenshire, AB35 5YN"
Gordons Tearoom and Restaurant,"Gordon House, 20 Mar Road, Aberdeenshire, AB35 5YL"
Braemar Lodge Hotel,"Braemar Lodge, Braemar Lodge Hotel, 6 Glenshee Road, Aberdeenshire, AB35 5YQ"
Delnashaugh Hotel,"Delnashaugh Hotel , Banffshire, AB37 9AS"
Ballindalloch Castle Tearoom,"Ballindalloch Castle, Moray, AB37 9AX"
Cardhu Country House,"Cardhu Country House, Knockando, Moray, AB38 7RY"
The Croft Inn,"THE CROFT INN, Glenlivet, MORAYSHIRE, AB37 9DP"
eastbank hotel,"11-17, High Street, Moray, AB38 7AU"
THE STATION HOTEL,"51 NEW STREET, ROTHES, MORAY, AB38 7BJ"
Highlander Inn Craigellachie,"10 Victoria Street, Craigellachie, Moray, AB38 9SR"
Aberlour Hotel Ltd,"87 High Street, Moray, AB38 9QB"
The Mash Tun,"8 Broomfield Square, Moray, AB38 9QP"
Dowans Hotel,"Dowans Hotel, Dowans Road, AB38 9LS"
Waterfront Cafe Bar,"62 Allardice Street, Aberdeenshire, AB39 2AA"
TANDOORI HAVEN,"54 Allardice Street, Aberdeenshire, AB39 2AA"
Number 44 Hotel & Bar,"44 Allardice Street, Aberdeenshire, AB39 2BU"
Nikki's Cafe & Bistro,"25 Market Square, Aberdeenshire, AB39 2BE"
Carron to Mumbai,"Carron Restaurant, Carron House, 20 Cameron Street, Aberdeenshire, AB39 2HS"
Belvedere Hotel ,"41 Evan Street, Aberdeenshire, AB39 2ET"
The Villa Coffee Shop,"13 Arbuthnott Place, Aberdeenshire, AB39 2JA"
Terryannes,"Tea Room, Recreation Ground, Cowie, Aberdeenshire, AB39 2RD"
Molly’s Cafe Bar,"The Promenade, Aberdeenshire, AB39 2RD"
The Ship Inn,"5 Shore Head, Aberdeenshire, AB39 2JY"
Tolbooth Seafood Restaurant,"Old Pier, Stonehaven Harbour, ABerdeenshire, AB39 2JU"
Marine Hotel,"9-10 Shorehead, Aberdeenshire, AB39 2JY"
Station Hotel (Stonehaven) Ltd,"Station Hotel, Arduthie Road, Aberdeenshire, AB39 2NE"
The view restaurant Stonehaven,"Cowie, Stonehaven Golf club, Aberdeenshire, AB39 3RH"
Kirktown Garden Centre Ltd,"Kirktown, Broomhill Road, Scotland, AB39 3UP"
The Stack Restaurant and bar,"14 Dunnyfell Road, Muchalls, Aberdeenshire, AB39 3RP"
The Creel Inn,"THE CREEL INN, Catterline, aberdeenshire, ab39 2UL"
Teacake,"11 Hume Square, Chapelton, Aberdeenshire, AB39 8AE"
Station Hotel Ellon Ltd,"station hotel, station brae, aberdeenshire, ab41 9bd"
Meat Monsters Ltd.,"Unit 21, Balmacassie Commercial Centre, Aberdeenshire, AB41 9BG"
Buchan Hotel ,"Buchan Hotel, Aberdeenshire, AB41 9AA"
Nosheen Tandoori,"10 Bridge Street, Aberdeenshire, AB41 9AA"
Riverview Cafe ,"36 Market Street, Aberdeenshire, AB41 9JD"
New Inn Hotel Ltd,"14, Market Street, Aberdeenshire, AB41 9JD"
The Barn Restaurant & Coffee Shop,"Westfield Cl, Foveran, AB41 6AY"
Newburgh INN,"Main Street, Newburgh, Aberdeenshire, AB41 6BP"
The View,"The View (Newburgh Golf Club), AB41 6BY"
Cruden Bay Golf Club,"Cruden Bay Golf Club, Aulton Road, Aberdeenshire, AB42 0NN"
St Olaf Hotel Ltd,"St Olaf Hotel, Aulton Road, Peterhead, AB42 0NN"
The Knowes Hotel,"43 Market Street, Aberdeenshire, AB44 1LL"
Bridgeview Restaurant,"13 Oldmarket Place, Aberdeenshire, AB45 1GE"
Market Arms Ltd,"5 High Shore, Aberdeenshire, AB45 1DB"
Broken fiddle,"9 Strait Path, Aberdeenshire, AB45 1AD"
Delight Enterprises,"10 Boyndie Street, Aberdeenshire, AB45 1DY"
Fife Lodge Hotel,"Fife Lodge Hotel, Sandyhill Road, Aberdeenshire, AB45 1BE"
The Banff Springs Hotel,"Golden Knowes Road, Aberdeenshire, AB45 2JE"
The Galley Restaurant ,"The Galley, Harbour Place, Aberdeenshire, AB45 2NQ"
Seafield Arms Whitehills ,"5 Chapel Street, Aberdeenshire, AB45 2NB"
Boyndie Visitor Centre,"Boyndie, Aberdeenshire, AB45 2JT"
Morris's Hotel,"The Square, Oldmeldrum, Aberdeenshire, AB51 0DS"
spice at meldrum arms,"spice at meldrumarms , south road, Aberdeensire , ab51 0ab"
The Redgarth,"Red Garth, Kirk Brae, Aberdeenshire, AB51 0DJ"
Meldrum House Golf Club,"Meldrum House Golf Club, AB51 0AE"
Meldrum House Country Hotel,"Meldrum House Hotel, AB51 0AE"
Lochter Fishery Ltd,"Lochter, Oldmeldrum, Aberdeenshire, AB51 0DZ"
FWM LTD INVERURIE GARDEN CENTRE,"Souterford Road, Aberdeenshire, AB51 0TP"
Cocoworks,"Coco Works,Inverurie Railway Statio, Station Road, Aberdeenshire, AB51 4TN"
Asian Kitchen Restaurant,"Unit 7b, Garioch Centre Constitution Street, Aberdeenshire, AB51 4UY"
Sabai Thai,"Unit 7a, Garioch Centre Constitution Street, Aberdeenshire, AB51 4UY"
Dreamy Goat Coffee Co.,"Strathlene Cottage, North Street, AB51 4DJ"
Fennel Restaurant,"10 Burn Lane, Aberdeenshire, AB51 4UZ"
Edwards Bar and Restaurant,"2 West High Street, Aberdeenshire, AB51 3SA"
"The Acorn Centre, Inverurie","Inverurie West Church, West High Street, Aberdeenshire, AB51 3SA"
Rajpoot ,"36 West High Street, Aberdeenshire, AB51 3QR"
Palki Restaurant,"56 Market Place, Aberdeenshire, AB51 3XN"
Wills Coffee House and Gift Barn,"Will's Coffee House & Gift Barn, 33 West High Street, Aberdeenshire, AB51 3QQ"
SINCLAIRS,"63 Market Place, Aberdeenshire, AB51 3PY"
The Drouthy Laird,"The Drouthy Laird, Blackhall Road, Aberdeenshire, AB51 3QT"
Aberdeen Arms Hotel,"Aberdeen Arms Hotel, AB41 7GX"
The Murly Tuck Cafe,"The Old School, 3 The Square, Aberdeenshire, AB41 7GX"
J G Ross ,"Highclere Business Park Highclere, Aberdeenshire, AB51 5QW"
Montgomerie Restaurant,"Davah Wood, Aberdeenshire, AB51 5JB"
ARDENNAN HOUSE HOTEL,"ARDENNAN HOUSE HOTEL, KEMNAY ROAD, ABERDEENSHIRE, AB51 3XD"
KELLOCKBANK LIMITED,"KELLOCKBANK, Culsalmond, Aberdeenshire, AB52 6SN"
Bennachie Leisure Centre,"Office, Bennachie Leisure Centre, Aberdeenshire, AB52 6LT"
Pittodrie House Hotel,"Pitcaple, Aberdeenshire, AB51 5HS"
Morgan McVeighs,"Colpy, Aberdeenshire, AB52 6XD"
celebrations of Turriff,"15 Main Street, Aberdeenshire, AB53 4AA"
White Heather Hotel,"14 High Street, Aberdeenshire, AB53 4DS"
Thai Chi,"5 The Square, Aberdeenshire, AB53 4AH"
The Rustic Grill ,"13-15 , Balmellie Street, Aberdeenshire, AB53 4DW"
Fife Arms Hotel,"The Square, Aberdeenshire, AB53 4AE"
Netherdale House,"Netherdale House, Aberdeenshire, AB53 4LE"
GORDON ARMS HOTEL ,"The Square, Aberdeenshire, AB54 8AF"
Cafe India,"109 Gordon Street, Aberdeenshire, AB54 8ES"
Deans of Huntly - Bistro,"Depot Road, Aberdeenshire, AB54 8JX"
The Market Cafe,"The Ward, Aberdeenshire, AB54 4QU"
The Coffee Pot,"7 Balvenie Street, Dufftown, Moray, AB55 4AB"
Dufftown Glassworks,"The Glassworks, 16 Conval Street, Moray, AB55 4AE"
Commercial Hotel,"Commercial Hotel, 4 Church Street, Moray, AB55 4AR"
The Old Coach House,"High Street, Moray, AB56 1AR"
"Carlton Bingo, Buckie","29 West Church Street, Moray, AB56 1BP"
Louis Fish & Chips Ltd,"19 West Church Street, Moray, AB56 1BN"
Le Cafe Coull,"25 West Church Street, Moray, AB56 1BN"
Time Restaurant & Cocktail Bar Ltd,"3 West Church Street, Moray, AB56 1BN"
sandisons,"22 East Church Street, Moray, AB56 1AE"
Kimibck Catering,"Buckpool Golf Club, Barhill Road, AB56 1DU"
Cullen Bay Hotel,"Cullen, Moray, AB56 4XA"
Caffè sofia,"81 Charleston Road North, Cove, City of Aberdeen, AB12 3SZ"
Cove Bay Hotel,"Colsea Road, Cove Bay, City of Aberdeen, AB12 3NA"
